'type','encrun','retrun','jit','Word','score','Response','RAWONSET','RT','subject','otherResps','ONSETtr','jit','enctype'
0,5,4,1500,'AUDIENCE',2,2,209005,1772,'y1004','',1.02E+02,1500,5
2,7,4,2000,'NOTICE',1,22,213004,863,'y1004','',1.04E+02,2000,0
0,4,4,2500,'LOSS',2,2,217504,714,'y1004','',1.06E+02,2500,3
2,7,4,2000,'CONFERENCE',2,2,222505,433,'y1004','',1.08E+02,2000,0
2,7,4,2000,'UNIFORM',2,2,227005,693,'y1004','',1.11E+02,2000,0
1,2,4,2500,'INSTANCE',3,22,231505,1058,'y1004','',1.13E+02,2500,1
0,4,4,2000,'STAFF',2,2,236504,2715,'y1004','_2',1.15E+02,2000,3
0,2,4,2000,'ORCHESTRA',3,22,241005,839,'y1004','',1.18E+02,2000,1
1,4,4,2000,'INDIVIDUAL',2,2,245505,904,'y1004','',1.20E+02,2000,3
2,7,4,1500,'CONTENT',2,2,250005,725,'y1004','',1.22E+02,1500,0
2,7,4,3000,'CLOSER',2,2,254004,2726,'y1004','',1.24E+02,3000,0
0,5,4,1500,'MASS',3,22,259504,756,'y1004','',1.27E+02,1500,5
0,1,4,1500,'POST',2,2,263504,1226,'y1004','',1.29E+02,1500,1
0,2,4,1500,'COMBINATION',3,22,267505,1496,'y1004','',1.31E+02,1500,1
1,4,4,2000,'BACKGROUND',3,22,271505,851,'y1004','',1.33E+02,2000,3
0,6,4,3000,'UNIVERSITY',3,22,276005,876,'y1004','',1.35E+02,3000,5
2,7,4,2000,'SECURITY',2,2,281505,2041,'y1004','',1.38E+02,2000,0
2,7,4,2500,'VOTE',1,22,286004,1248,'y1004','',1.40E+02,2500,0
2,7,4,1500,'HOTEL',2,2,291004,1068,'y1004','',1.43E+02,1500,0
1,3,4,2500,'RATE',3,22,295004,1188,'y1004','',1.45E+02,2500,3
1,6,4,1500,'CHIEF',2,2,300004,2343,'y1004','',1.47E+02,1500,5
0,2,4,2500,'EVENING',99,0,304005,Inf,'y1004','',1.49E+02,2500,1
0,4,4,2500,'FIGHT',2,2,309004,704,'y1004','',1.52E+02,2500,3
1,2,4,2500,'PARK',2,2,314004,1269,'y1004','',1.54E+02,2500,1
0,2,4,2000,'GOLD',2,2,319004,894,'y1004','',1.57E+02,2000,1
0,3,4,2000,'SIGN',2,2,323504,960,'y1004','',1.59E+02,2000,3
0,1,4,1500,'PASS',3,22,328004,1040,'y1004','',1.61E+02,1500,1
0,3,5,3000,'MEMBER',2,2,2004,1041,'y1004','',-2.00E+00,3000,3
2,7,5,1500,'STORY',2,2,7504,757,'y1004','',7.52E-01,1500,0
0,6,5,2500,'CROSS',3,22,11504,757,'y1004','',2.75E+00,2500,5
